N=1000,N=1200
0.968803655,0.885815296
0.961769933,0.877372838
0.954313067,0.868444068
0.952497466,0.867084275
0.957714943,0.87076804
0.959940225,0.877905503
0.94946051,0.868176408
0.941247077,0.858924008
0.934077548,0.850905324
0.924956926,0.842744131
0.924952458,0.845205316
0.924082276,0.846217808
0.915503099,0.838348069
0.908798007,0.832369122
0.903831357,0.828799894
0.899174741,0.824545653
0.895400705,0.822105864
0.888984285,0.814232973
0.887030751,0.812753656
0.89397447,0.818963225
0.886047835,0.811236994
0.887447154,0.81453215
0.880819994,0.806773707
0.872061527,0.798751258
0.873962603,0.799053722
0.874401982,0.800187996
0.879695502,0.80735694
0.875304633,0.800879592
0.866474529,0.792746106
0.864808027,0.792283212
0.870807187,0.793823528
0.873997255,0.798463939
0.877434968,0.799951286
0.878466749,0.801618421
0.883341136,0.80615909
0.88808924,0.809208405
0.893193052,0.813993814
0.88545273,0.805603559
0.87569715,0.798052747
0.868033856,0.787673294
0.873252613,0.791591193
0.868813143,0.788456313
0.867105462,0.789856894
0.863391102,0.78429377
0.853942558,0.774003872
0.856898207,0.775693543
0.860739765,0.779516869
0.864745672,0.784423297
0.863299552,0.782135354
0.854909409,0.772443247
0.854093165,0.771734045
0.856125218,0.777292307
0.857216762,0.779667035
0.84648852,0.769953062
0.848459309,0.771757664
0.838978559,0.761636656
0.844957834,0.765908428
0.83541717,0.755169668
0.835106083,0.75371533
0.827757526,0.74568722
0.833241843,0.753278828
0.82608559,0.747079562
0.825008977,0.745208506
0.825968429,0.742486739
0.818433093,0.735421677
0.832826891,0.763748192
0.840774268,0.770294652
0.842731827,0.773735349
0.83279422,0.763211375
0.837137868,0.764706021
0.828382494,0.752443924
0.819488557,0.743730908
0.821937316,0.745221963
0.812635655,0.735588573
0.804746613,0.725055614
0.810723859,0.728250358
0.813937445,0.730688164
0.803416359,0.72085514
0.793387568,0.709579423
0.787630995,0.702122182
0.793819823,0.706609692
0.798750627,0.714236034
0.795391794,0.710786153
0.787464454,0.700620634
0.791980086,0.703365196
0.778863459,0.69301525
0.786435742,0.700171217
0.781697518,0.694763519
0.786786487,0.701944477
0.781783407,0.695989927
0.879574374,0.785483607
0.878748808,0.785849837
0.875502749,0.783844422
0.869939126,0.777164483
0.861627696,0.768518532
0.863769903,0.773224435
0.86643045,0.774426272
0.863753301,0.771270172
0.853963356,0.761684513
0.843705998,0.751138183
0.839886527,0.746547275
0.832041319,0.739221435
0.835697571,0.743423535
