N-500,N-800,N-1000,N-1200
0.732234208,0.735579777,0.76214659,0.764152569
0.733394665,0.736486816,0.763113574,0.765178591
0.74217819,0.744157929,0.771501546,0.772449095
0.745663196,0.748566263,0.775717345,0.776104865
0.744090924,0.746856185,0.774671949,0.774161602
0.748240527,0.750489691,0.779083201,0.778303745
0.750932699,0.754604484,0.783325775,0.782584183
0.757432455,0.761023462,0.789532304,0.787488989
0.755286391,0.758284121,0.787439992,0.785111594
0.753786614,0.756782941,0.785770638,0.783529658
0.750955083,0.753504457,0.782581723,0.780367064
0.751213151,0.753347855,0.78185641,0.780078465
0.748201478,0.750690784,0.77912676,0.7776134
0.768788144,0.772684583,0.799875975,0.798972298
0.785051855,0.791312456,0.819664039,0.824508718
0.801690328,0.802470194,0.832857462,0.835831052
0.788013744,0.789638286,0.822019821,0.82412923
0.774200987,0.779312968,0.807149572,0.814819458
0.771968163,0.776820875,0.804377442,0.812420006
0.770358717,0.77539868,0.802886296,0.810266882
0.767098795,0.772772625,0.800070726,0.807095939
0.762393092,0.767375968,0.793847483,0.801545716
0.756399745,0.76145166,0.787887685,0.795385127
0.756341604,0.760904803,0.787022585,0.794816098
0.754583458,0.759146189,0.784984704,0.792816809
0.750909576,0.755182468,0.781392586,0.788989665
0.745361839,0.749620045,0.775665368,0.783365737
0.751490029,0.756521831,0.782194163,0.7902616
0.74755533,0.754051356,0.779243839,0.788123529
0.752052368,0.760994056,0.787293257,0.795603484
0.750785225,0.760185998,0.785392859,0.79525392
0.758072789,0.765803261,0.792348572,0.803021182
0.764486282,0.77080148,0.797425629,0.808733684
0.768462814,0.774778238,0.80149382,0.81340224
0.766698165,0.773387852,0.799484936,0.811556054
0.774163669,0.78123448,0.808348528,0.820955131
0.784234215,0.79047671,0.822648757,0.832980762
0.790658032,0.795848432,0.828105159,0.839303841
0.790008523,0.796295784,0.82831039,0.839822022
0.784880391,0.791449913,0.823557837,0.833864298
0.784047699,0.791100216,0.822774608,0.833441779
0.781009037,0.787914644,0.818635046,0.830935453
0.779310966,0.786551722,0.816530724,0.829129352
0.775690172,0.782643087,0.812610935,0.825515174
0.77993847,0.786526045,0.816548965,0.82949789
0.779012538,0.784708469,0.81474017,0.827569754
0.775592609,0.781245964,0.810449596,0.823178806
0.774167255,0.779814425,0.808704041,0.821697796
0.770750469,0.776867168,0.805410532,0.818440672
0.773095678,0.779354289,0.807496228,0.820673772
0.772844148,0.778828098,0.806298185,0.819841648
0.767781422,0.773299167,0.800251762,0.814049728
0.766315984,0.771663211,0.797918953,0.812282046
0.765521477,0.770933783,0.796974397,0.811207872
0.766020502,0.772320172,0.798083073,0.812557928
0.768677148,0.774029415,0.800893951,0.815245914
0.775546356,0.778399998,0.805780472,0.819840312
0.774546587,0.7775434,0.8048694,0.819012213
0.773196433,0.776240702,0.80373658,0.817575923
0.773598762,0.777060367,0.80416974,0.817742328
0.771920395,0.774956616,0.802571859,0.816132251
0.768905886,0.771708535,0.79920458,0.812853024
0.76677998,0.769503795,0.796937484,0.81041401
0.762392741,0.765938579,0.792923368,0.805918079
0.762209861,0.765943771,0.792073391,0.805413893
0.761476073,0.764879334,0.790797679,0.803996546
0.758064518,0.762248533,0.786710604,0.800857017
0.759435827,0.76361679,0.787614151,0.802193738
0.757685649,0.762545732,0.784952489,0.800297158
0.762376479,0.767476386,0.789854638,0.805450796
0.760501969,0.765228109,0.788734013,0.804596261
0.76095273,0.765764908,0.788437364,0.805072161
0.759308933,0.764204006,0.787037635,0.80312564
0.762404549,0.767120279,0.789819991,0.805950178
0.760974125,0.765766821,0.788477398,0.804328196
0.75856574,0.763180735,0.785846414,0.801641916
0.757673314,0.762194494,0.784255957,0.800342187
0.755177364,0.75939899,0.781311492,0.797510036
0.759117659,0.763491633,0.78545079,0.801291234
0.757002715,0.762471551,0.784322636,0.799886992
0.757448691,0.763167705,0.783924109,0.799765186
0.756898423,0.762168141,0.782802017,0.798300104
0.755436182,0.761708345,0.782177655,0.797394391
0.754759815,0.760489245,0.78077322,0.795838792
0.751099115,0.756542212,0.777080626,0.79177222
0.748383317,0.754040883,0.774272532,0.788789205
0.745453767,0.751062335,0.771159458,0.785484423
0.751338377,0.756750092,0.776948328,0.79098601
0.749870597,0.75569614,0.775396042,0.78945455
0.75719667,0.762694587,0.782165929,0.796135127
0.759097429,0.764594996,0.78367124,0.797299671
0.757250489,0.763156396,0.782210749,0.795709966
0.754392671,0.76002621,0.779094143,0.792049019
0.749997265,0.755082929,0.774257848,0.787507113
0.748085677,0.752874031,0.772222814,0.785238101
0.744782219,0.749337583,0.768491023,0.781749669
0.743709531,0.748230141,0.767250698,0.780370196
0.741816543,0.746533313,0.765327479,0.778350041
0.747837872,0.751648801,0.771260389,0.78382525
0.747450022,0.751679317,0.771416127,0.783925928
0.751540692,0.756856167,0.776794441,0.789506218
0.753020936,0.757645199,0.778146039,0.790602727
0.756852969,0.76198834,0.781794175,0.794364609
0.756426466,0.762514257,0.782628317,0.795125778
0.759802701,0.765785336,0.785403503,0.797726033
0.759505775,0.765524284,0.784717704,0.797003501
0.757105194,0.762688071,0.781699963,0.794772287
0.752161133,0.757514312,0.776442554,0.789237111
0.759748411,0.764903237,0.782872095,0.796287897
0.757949244,0.763567094,0.781131606,0.794673509
0.755777995,0.761005202,0.778506813,0.791877657
0.771713479,0.776872481,0.793270001,0.807669474
0.76438019,0.771063879,0.785347452,0.802784972
0.767722851,0.775288708,0.789139734,0.805043393
0.77118582,0.77876178,0.793314371,0.808504093
0.775537424,0.78311709,0.7972233,0.812385228
0.778264162,0.787593983,0.800325167,0.814561843
0.777771644,0.787052452,0.799512578,0.813619838
0.780820335,0.793078694,0.804047042,0.816605722
0.780076721,0.792426127,0.803595233,0.816096109
0.78596013,0.799529779,0.81074889,0.822188937
0.790069558,0.802442926,0.814597762,0.824044169
0.798031241,0.812349604,0.824297125,0.831966927
0.793657589,0.808932799,0.819934839,0.828720983
0.791753054,0.807514605,0.818404087,0.827011582
0.792632856,0.807884227,0.818829914,0.827910518
0.7915891,0.805483395,0.81683359,0.826603386
0.798051443,0.811912038,0.822783716,0.832511878
0.799467162,0.812661736,0.825022017,0.834596901
0.801949876,0.815326606,0.827453319,0.837180746
0.800634481,0.81405145,0.826052952,0.835591792
0.802017137,0.815708694,0.827293531,0.837032829
0.800379881,0.814131751,0.825755787,0.835409697
0.808202687,0.820990787,0.833129488,0.843297758
0.813000429,0.825633192,0.836786978,0.847990638
0.80772535,0.820106527,0.831200646,0.843245582
0.831978951,0.84411991,0.854894465,0.872849139
0.839660395,0.854734668,0.864728679,0.882558871
0.838219683,0.852437065,0.862475123,0.881087808
0.845976607,0.86017512,0.871903789,0.888559621
0.843541734,0.85919994,0.87095897,0.888297427
0.855835621,0.87270291,0.883750914,0.900630394
0.853363614,0.872897512,0.881423852,0.900287073
0.859104713,0.880794939,0.887927784,0.905942105
0.861410099,0.882490921,0.889749728,0.90732508
0.866742937,0.889743516,0.896919594,0.914242803
0.86164976,0.88460752,0.892276438,0.910055548
0.860703749,0.884015091,0.891461988,0.908949066
0.86105605,0.883929299,0.891356697,0.908931764
0.866351765,0.889645686,0.897944361,0.914251319
0.862735063,0.8852069,0.893770116,0.910821572
0.86803271,0.888421858,0.895992049,0.913527379
0.868935709,0.888947457,0.897228602,0.915001524
0.86606186,0.885548525,0.894078891,0.912036768
0.861910299,0.881335434,0.890299279,0.907950917
0.860083741,0.879280383,0.888375771,0.905783987
0.861854228,0.881110282,0.890142472,0.90737426
0.861822549,0.881181952,0.890247514,0.907404256
0.861619869,0.880718593,0.890430746,0.907429358
0.864686554,0.885203602,0.895225858,0.911619045
0.870582969,0.89196178,0.901436669,0.920541305
0.865966507,0.885764601,0.895830444,0.914954542
0.861248429,0.880701145,0.890747798,0.909438226
0.856189494,0.875864894,0.885710831,0.904312435
0.859056764,0.878080808,0.887784888,0.906558502
0.863554295,0.884186517,0.893011566,0.91318427
0.867829708,0.888196771,0.898896907,0.918153157
0.863341766,0.883448033,0.894297282,0.913384763
0.875479039,0.897300065,0.908827028,0.926944338
0.867607447,0.888769937,0.899866234,0.920213456
0.868673166,0.890562582,0.901743536,0.921076246
0.865337335,0.88680553,0.89822712,0.91701857
0.865596321,0.88723567,0.898799422,0.917306224
0.869502523,0.891618678,0.903210687,0.922170286
0.865857078,0.888381463,0.900315213,0.920893538
0.862236586,0.886102717,0.895528592,0.918542552
0.860222751,0.884310683,0.893920187,0.917363061
0.857583514,0.881287628,0.891200567,0.914023192
0.852208993,0.875628611,0.885542466,0.907993834
0.861745398,0.886561857,0.896532638,0.91796571
0.85952292,0.885250902,0.895466293,0.917109246
0.85726908,0.88236635,0.892902318,0.914233499
0.857750562,0.882730636,0.893352555,0.914201856
0.855788577,0.88035322,0.890917186,0.911748781
0.852866894,0.877100538,0.887730812,0.908269671
0.849802178,0.873963758,0.884463547,0.905010855
0.853213844,0.877266313,0.887927448,0.908452521
0.852004864,0.875995327,0.886284241,0.907086204
0.85001492,0.87349958,0.883755197,0.904652981
0.850605225,0.873999075,0.884336029,0.904957634
0.847244301,0.870746047,0.882389589,0.902683259
0.844780652,0.868143115,0.879939574,0.900103062
0.847327936,0.870588602,0.882380707,0.902275696
0.846852273,0.869394648,0.88205792,0.90046932
0.854013011,0.876571021,0.888910114,0.907012254
0.852793063,0.874878855,0.887353478,0.905271989
0.851531115,0.873294715,0.885805398,0.903387351
0.851868939,0.873417467,0.885983326,0.903372212
0.851621905,0.873336776,0.885767354,0.903021114
0.849889861,0.8712559,0.883759459,0.900939175
0.851089622,0.872047819,0.884763969,0.901797702
0.856203778,0.877570653,0.890230496,0.907480653
0.850513272,0.873364586,0.887409687,0.902982613
0.847841463,0.872151374,0.885933433,0.902029693
0.846933749,0.871313645,0.884801245,0.900679014
0.852530001,0.876287963,0.890540209,0.905887133
0.854203849,0.877521742,0.891587142,0.906882768
0.850263216,0.872862762,0.887129925,0.902197278
0.851548315,0.873670774,0.887374165,0.902788051
0.850488701,0.872766178,0.886183301,0.90132608
0.848543942,0.870359939,0.88372079,0.898920433
0.851244902,0.872940159,0.886204806,0.901679212
0.84988291,0.872125216,0.885201739,0.900519754
0.849909489,0.872614637,0.885129898,0.900589414
0.849817195,0.872131137,0.884579537,0.900188027
0.857242881,0.880489245,0.893274957,0.908921586
0.863788588,0.885535373,0.900363459,0.915095922
0.875574913,0.900697524,0.912229616,0.928452275
0.873828099,0.899261844,0.911196023,0.926732471
0.875605123,0.901694353,0.913086948,0.928831656
0.875513649,0.90260001,0.913252977,0.929434534
0.875266881,0.902272617,0.913279415,0.929328513
0.87028882,0.897027473,0.908148841,0.924151267
0.868684782,0.894932178,0.906275236,0.922256716
0.866395905,0.892189996,0.903716966,0.919555524
0.863228326,0.888799134,0.900143461,0.915968102
