N-500,N-800,N-1000,N-1200
0.510060901,0.489331895,0.478096152,0.493811556
0.508596877,0.487762125,0.476859614,0.492418622
0.508934615,0.488000008,0.476882955,0.492612607
0.514491047,0.493339573,0.482570569,0.497197367
0.512700016,0.491731388,0.480922991,0.495680283
0.512488846,0.491370357,0.480822878,0.495070059
0.511650236,0.491112663,0.479765212,0.495121026
0.510262096,0.489753829,0.478446193,0.493670834
0.50972481,0.48922248,0.477777529,0.493006002
0.509582192,0.489020578,0.477612176,0.492939454
0.508604444,0.487997581,0.475585976,0.49140478
0.50722493,0.486764958,0.474310218,0.490088271
0.50615422,0.485637474,0.473463967,0.489418108
0.504964595,0.484329433,0.47228493,0.488179465
0.517579586,0.497562323,0.482293212,0.49800464
0.515562695,0.495726786,0.48052945,0.496302455
0.519701681,0.499675968,0.484307501,0.499782511
0.518248126,0.50094745,0.485324068,0.500618518
0.517680298,0.499639207,0.484606961,0.499967417
0.516639009,0.498569808,0.48367556,0.499194942
0.515060299,0.497411632,0.482769301,0.49801985
0.513490956,0.496248634,0.481552387,0.496747759
0.512121234,0.495146306,0.480466728,0.495542689
0.510730119,0.493915386,0.479221844,0.494189429
0.509495704,0.493598621,0.47871681,0.493594089
0.508974965,0.49372061,0.478121915,0.493382453
0.507594467,0.4922597,0.476935107,0.492105272
0.506268462,0.490856048,0.475727388,0.490783455
0.506089851,0.490924822,0.47500663,0.490228235
0.505047999,0.489911801,0.47382798,0.48929144
0.507800132,0.491746902,0.476828961,0.491095166
0.507403183,0.491272823,0.476569334,0.490631847
0.51512612,0.499141889,0.482928679,0.495830359
0.514071487,0.498033989,0.481955261,0.494788558
0.518368172,0.50185122,0.485205248,0.497903487
0.520150532,0.503105877,0.486838085,0.499330657
0.528740815,0.511659421,0.494675984,0.506670388
0.527470674,0.510335463,0.493394825,0.505446045
0.523723012,0.508128555,0.491621163,0.504047326
0.521832477,0.506925441,0.490699903,0.502808589
0.520482033,0.505907599,0.489590174,0.50171573
0.519496563,0.504452306,0.488676051,0.500261553
0.517822356,0.503318312,0.487493049,0.499124973
