N=1000,N=1200
0.250772649,0.31638662
0.255736819,0.322626349
0.261175055,0.331376489
0.264948651,0.335718988
0.268464567,0.339340665
0.273508706,0.346193134
0.280640573,0.356574951
0.27710178,0.350472207
0.276803404,0.350255532
0.272606632,0.346887037
0.267218883,0.34136451
0.267563636,0.344082725
0.259621279,0.334779739
0.258435745,0.33458071
0.2574452,0.33292092
0.254036262,0.32929487
0.243090363,0.318639299
0.24161259,0.316604186
0.239428713,0.312879851
0.242749531,0.315058564
0.245423661,0.318020713
0.250883144,0.322433092
0.254602775,0.326557721
0.258959724,0.332327553
0.258049561,0.330404529
0.258295753,0.330642287
0.261251868,0.333804236
0.263895572,0.336509106
0.268059678,0.34109563
0.266571194,0.339447495
0.268258562,0.340618612
0.273382806,0.346219663
0.276361322,0.348949439
0.277087645,0.34955201
0.276068924,0.347867928
0.281591267,0.35078929
0.273142696,0.341934671
0.2730263,0.341826317
0.273017046,0.342203208
0.272702209,0.340838018
0.272274544,0.339991226
0.274564315,0.341358229
0.276627265,0.343193231
0.280780899,0.34825074
0.281300153,0.349137207
0.281746362,0.349432422
0.282503363,0.351952221
0.280994647,0.349881693
0.280573454,0.349333743
0.276031993,0.34354201
0.281368485,0.349198531
0.277118576,0.343310053
0.277647362,0.343435861
0.276492866,0.341315887
0.276817564,0.341480743
0.276026638,0.340556804
0.276013688,0.340937191
0.276825175,0.342195924
0.274221382,0.337331241
0.276799411,0.339861941
0.280407159,0.34389302
0.284194393,0.347720101
0.286226162,0.351012691
0.28463561,0.348855269
0.285698161,0.34829073
0.287093445,0.350156801
0.289317966,0.352389282
0.286002163,0.346908471
0.285169959,0.346130386
0.290694003,0.349463475
0.285454993,0.344173946
0.283972517,0.344209638
0.285797132,0.34502395
0.288934751,0.348423761
0.291000178,0.350756455
0.292597514,0.352827015
0.293653224,0.354310132
0.294836197,0.355005091
0.292873834,0.351202248
0.289004709,0.347357439
0.288675366,0.347300975
0.284889912,0.342826543
0.284210762,0.342028978
0.288393759,0.345977087
0.282934745,0.340974238
0.283147026,0.341093543
0.283779346,0.341633514
0.285989955,0.344393153
0.280818505,0.338940997
0.280521559,0.338320148
0.280760871,0.33731416
0.269796616,0.327344355
0.272500416,0.33003491
0.27888589,0.341566347
0.27272042,0.334226313
0.27279561,0.334787053
0.271804849,0.331846261
0.272974018,0.333278141
0.271756832,0.331487354
0.270272209,0.330238185
0.268375538,0.328295411
0.264439023,0.324690712
0.260954416,0.321028051
0.262921403,0.322412887
0.262191486,0.321263914
0.26225234,0.321258496
0.263052831,0.321362264
0.261680257,0.319115183
0.260182652,0.318049463
0.260291944,0.317752117
0.260394794,0.318081276
0.260583495,0.318007358
0.260950508,0.318494707
0.257406358,0.315560755
0.253755167,0.312333548
0.25449024,0.314273544
0.245850021,0.299826048
0.23699975,0.291097214
0.236612213,0.289560106
0.234999335,0.287703458
0.232254273,0.284893059
0.232391017,0.28547766
0.229282571,0.281828125
0.229451587,0.284745682
0.225351643,0.280767553
0.224100716,0.279511251
0.226519696,0.281555728
0.224401526,0.279682755
0.225060911,0.280012191
0.222815892,0.277439189
0.222917396,0.277816596
0.225611553,0.279766155
0.222505075,0.276339525
0.223570436,0.276183639
0.225695865,0.278777446
0.227327153,0.280898987
0.227749276,0.28119653
0.22775649,0.281347277
0.22772561,0.281396621
0.227910491,0.281827344
0.22364902,0.277422118
0.224764088,0.279118327
0.22731352,0.28307181
0.230754358,0.286979276
0.231490745,0.287855688
0.230417724,0.286090367
0.226542192,0.283164093
0.227817644,0.284514403
0.221202824,0.278187246
0.224631505,0.281920273
0.221473864,0.278664214
0.222570094,0.279176481
0.223388317,0.280322659
0.221758287,0.279392937
0.22493437,0.281977294
0.227476781,0.284070676
0.226316044,0.282787818
0.226301961,0.282876959
0.227982416,0.286216947
0.223562069,0.281820256
0.222219721,0.280716359
0.222864799,0.281175312
0.223690269,0.282039939
0.224667099,0.283097292
0.226848953,0.284866311
0.22939112,0.287505275
0.228947699,0.287018975
0.228838792,0.28716557
0.229223788,0.287740575
0.229499063,0.288359896
0.230047859,0.290040729
0.23190003,0.292189936
0.231068017,0.291688745
0.231820616,0.291824763
0.230539169,0.28876091
0.230533999,0.28881897
0.229711329,0.28840272
0.229867026,0.288655405
0.22993813,0.287987713
0.230781209,0.288331039
0.230890554,0.288320125
0.230486552,0.288044071
0.234612664,0.292195186
0.235875843,0.293320811
0.234292535,0.292059482
0.233542426,0.29136253
0.231315833,0.289908108
0.23308504,0.291032269
0.233608819,0.291475967
0.234245328,0.291948764
0.23494886,0.292784823
0.234429527,0.292154007
0.234508082,0.292174958
0.23463898,0.292347593
0.234698,0.292414138
0.234808723,0.291747885
0.230078865,0.286964393
0.228901163,0.287282814
0.226862271,0.285099595
0.226883425,0.285562674
0.227187732,0.286802804
0.225740494,0.284925332
0.227438172,0.285894996
0.229084909,0.287488518
0.230568022,0.28884669
0.2323459,0.290628527
0.233879109,0.292812235
0.232184413,0.289741233
0.233409858,0.291152645
0.233375576,0.291210017
0.23329675,0.290689528
0.233184572,0.290534409
0.233135966,0.290517602
0.233411525,0.290557707
0.23411406,0.292246911
0.235221444,0.293685788
0.236351488,0.294723907
0.238166777,0.295924198
0.238138918,0.295675194
0.238168992,0.295879281
0.238378054,0.296251736
0.239058443,0.297354756
0.240569328,0.298786048
0.241286306,0.299327173
0.240322797,0.29774285
0.240120612,0.297672941
0.240304543,0.297585647
0.241513567,0.298547758
0.241588034,0.298660312
0.241125947,0.298018068
0.240723643,0.297858471
0.241494904,0.298483863
0.241502705,0.298401779
0.24168804,0.298453546
0.241414793,0.29815746
0.241020683,0.297989458
0.242029082,0.299235871
0.243829988,0.301184783
0.244125022,0.301408116
0.244558795,0.3017759
0.242770519,0.298471453
0.260398032,0.313798374
0.254738166,0.307899515
0.254440394,0.307289286
0.254949656,0.308266002
0.250481025,0.305003613
