N=1000,N=1200
1.064229656,1.070984296
1.075664553,1.081217169
1.099688116,1.10381945
1.105015441,1.108436346
1.088245227,1.092246446
1.106762996,1.10980655
1.105097805,1.107191005
1.107171481,1.109440975
1.150617406,1.156796251
1.144660769,1.150329175
1.128867242,1.134761393
1.112960584,1.118940963
1.109275573,1.11480417
1.102715015,1.108011887
1.120105971,1.12675623
1.132947809,1.140398118
1.150791302,1.158108064
1.147949301,1.154148576
1.146602136,1.15164357
1.165230584,1.17169733
1.149913203,1.156235137
1.157227387,1.162728564
1.145118201,1.150393456
1.154539401,1.159348613
1.160937555,1.165525131
1.157444956,1.16152657
1.180610644,1.187053959
1.169167008,1.175428438
1.214235487,1.221367156
1.200051872,1.206937485
1.196735005,1.202817043
1.19040995,1.195602401
1.1859153,1.190240947
1.189735947,1.193735143
1.17690387,1.180836105
1.18120464,1.184881547
1.188696103,1.192860546
1.176031977,1.180181715
1.163918393,1.168000925
1.153592878,1.157764133
1.14840799,1.152216116
1.142600769,1.146830848
1.127342278,1.131535941
1.121076886,1.12548225
1.159884796,1.168547023
1.145248248,1.153887835
1.131326766,1.139647177
1.129230562,1.136422775
1.13174686,1.138856601
1.116004331,1.123296547
1.118743935,1.125857655
1.102922328,1.110003585
1.086813985,1.094147039
1.104333537,1.115615754
1.099340612,1.111171843
1.08419908,1.095646516
1.07609051,1.087435249
1.105515751,1.118478915
1.102421899,1.115319939
1.096621072,1.10912776
1.080767233,1.093083661
1.102408981,1.114690598
1.132254024,1.146592272
1.120057928,1.133575278
1.133318733,1.146824667
1.129900702,1.143318134
1.13108111,1.144080606
1.126462262,1.139095432
1.115504375,1.127775109
1.162918135,1.175132159
1.153816731,1.165242888
1.182973733,1.193754031
1.192469694,1.202442983
1.209572739,1.219524993
1.239212475,1.249775443
1.249183905,1.259398934
1.239530507,1.249254013
1.229351743,1.238663514
1.23686666,1.245300291
1.224005324,1.232470382
1.231701708,1.24068534
1.242638014,1.252427145
1.254004583,1.265034383
1.247568043,1.258643555
1.243460907,1.254471755
1.239585962,1.2506405
1.226075818,1.237301058
1.219631007,1.230184149
1.216905616,1.227246164
1.206759829,1.216840328
1.212032564,1.222630649
1.204621868,1.214045145
1.223439283,1.232688722
1.209938614,1.219261588
1.196888943,1.206390242
1.188850136,1.198688585
1.177058959,1.187030977
1.162673001,1.172767543
1.179242701,1.189829824
1.168143987,1.178451179
1.161562037,1.172051955
