N-500,N-800,N-1000,N-1200
0.575415547,0.545181462,0.527324403,0.597457877
0.564147336,0.535236114,0.516798037,0.585542161
0.563357327,0.535764372,0.512870433,0.584992825
0.563450921,0.534319212,0.512974374,0.583560007
0.567547561,0.537638895,0.516748009,0.586721628
0.551765179,0.525088977,0.505396807,0.570386403
0.552390661,0.528126899,0.507138633,0.57217861
0.561683441,0.531581943,0.512455872,0.579627405
0.550243095,0.522018308,0.502555209,0.56856708
0.550670744,0.52180046,0.502779227,0.567187963
0.526243476,0.508077509,0.491804221,0.555435741
0.515038334,0.497236265,0.479955663,0.542802219
0.527951224,0.509591231,0.485946953,0.547789102
0.52417581,0.505522082,0.481523461,0.540529476
0.52229798,0.503718195,0.478341821,0.537258188
0.527929729,0.509182588,0.483856585,0.540857492
0.51816051,0.500123038,0.476589245,0.532467867
0.51923034,0.49822514,0.475821644,0.530959469
0.523300263,0.504447245,0.482912269,0.538223235
0.524970335,0.509272719,0.48726181,0.542325709
0.529477667,0.513842169,0.492811509,0.548417394
0.523033873,0.509685351,0.487305804,0.541659649
0.521423821,0.507800714,0.487709483,0.541105169
0.518579526,0.505637905,0.484226522,0.538843468
0.515021389,0.501853611,0.481140199,0.534704133
0.527810588,0.510399207,0.491527338,0.543067478
0.53964406,0.520854015,0.500553434,0.554269755
0.544628223,0.526721985,0.507109145,0.560636246
0.551459422,0.53541725,0.516578544,0.570157974
0.566387945,0.549886818,0.531723398,0.586319482
0.575986401,0.562343357,0.545816541,0.599501239
0.592690108,0.579395754,0.561318252,0.617301456
0.581404704,0.56740156,0.550440047,0.604131247
0.585661603,0.571490431,0.556228844,0.609134442
0.584576526,0.571981802,0.556819443,0.609665396
0.575695414,0.565643397,0.546191132,0.600386412
0.562774679,0.556210665,0.536773891,0.592549811
0.566597841,0.556871245,0.540805455,0.596792277
0.569158286,0.560893139,0.543017992,0.600106922
0.570978465,0.562411325,0.543440518,0.601067392
0.578700913,0.566523092,0.550834974,0.608439582
0.5760631,0.563104977,0.54714965,0.607904693
0.557898384,0.554922941,0.532297096,0.590641272
0.549340131,0.54550434,0.52269739,0.581013608
0.547675774,0.544187798,0.520335114,0.580605221
0.54753341,0.544199254,0.516257994,0.577948876
0.537543202,0.53407492,0.508630859,0.566650745
0.535221548,0.531826836,0.502859239,0.564694234
0.534547709,0.531622057,0.503143155,0.564732154
0.5345953,0.531283996,0.502263127,0.563734791
0.53477215,0.530960716,0.503210955,0.563287939
0.533920455,0.53191917,0.503793647,0.563877611
0.538036793,0.537935362,0.507754349,0.570069773
0.496271803,0.509052187,0.47831796,0.521125568
0.47566119,0.486765318,0.457491445,0.496595027
0.483510327,0.501099945,0.465201684,0.505844178
0.529853217,0.556544011,0.507358734,0.551301397
0.537605979,0.564566978,0.515783202,0.557035997
0.538177965,0.567852603,0.51807414,0.558584417
0.534545422,0.564797189,0.515098292,0.553202669
0.530333549,0.559568251,0.511768431,0.550416443
0.532618504,0.565069037,0.517418083,0.558138636
0.5457062,0.5762182,0.530413749,0.571971251
0.546387302,0.577782499,0.530999228,0.573393112
0.549277077,0.579931512,0.534193305,0.576553276
0.558133083,0.586808938,0.542997031,0.587615703
0.570981387,0.598390128,0.55604956,0.604303839
0.553583029,0.575773687,0.537653036,0.576997154
0.553565868,0.574090165,0.538013146,0.577083465
0.555606355,0.572949384,0.540029489,0.579880457
0.549740512,0.565946557,0.533265293,0.572785478
0.568921325,0.583889365,0.545120475,0.586206713
