N-500,N-800,N-1000,N-1200
0.854644819,0.84114891,0.83784964,0.838695331
0.853600688,0.839417615,0.837522859,0.837564073
0.852534592,0.836735295,0.836103292,0.834401803
0.849417244,0.833332947,0.832516221,0.831109076
0.848924969,0.832426912,0.83205338,0.830524167
0.84551708,0.829789715,0.829384628,0.827172984
0.844982611,0.829883798,0.827835734,0.82510895
0.846982167,0.830287894,0.82881272,0.827098455
0.849281991,0.832615044,0.831247445,0.827575293
0.851555217,0.831310096,0.83141162,0.826199841
0.847761613,0.827760486,0.827936619,0.822408545
0.848052709,0.829725724,0.829557608,0.824206305
0.844253188,0.825146598,0.824987527,0.820194577
0.841254464,0.823002255,0.822790655,0.817386803
0.837819647,0.819488756,0.819947307,0.813903044
0.8386829,0.819611081,0.821761264,0.815751122
0.842500245,0.830903148,0.831633082,0.826194009
0.843205436,0.83171733,0.833990528,0.827528162
0.838742827,0.828406342,0.830211567,0.823684947
0.840478465,0.831086642,0.831783966,0.826075732
0.858029417,0.845040471,0.850074068,0.843206506
0.85532118,0.843066907,0.847829193,0.841303588
0.899848468,0.883015533,0.890049966,0.882822642
0.896740754,0.880284415,0.887457096,0.88110073
0.898744915,0.88271158,0.890650788,0.882284219
0.895516563,0.880659139,0.888384304,0.879743238
0.894530966,0.87936389,0.887675542,0.879232286
0.890758977,0.876490756,0.885378309,0.875502714
0.893767021,0.878742018,0.887357776,0.879099797
0.888320983,0.873998364,0.882537305,0.87454091
0.887508809,0.873950731,0.88225957,0.875437406
0.883447066,0.869925657,0.878587876,0.871370186
0.887294666,0.875113295,0.882870558,0.874868563
0.886318097,0.874516129,0.881673331,0.874179869
0.882437039,0.870932367,0.877877029,0.869835001
0.881077575,0.870155332,0.876867992,0.868798409
0.877749895,0.866208458,0.874312644,0.865941398
0.875348484,0.864386685,0.872004468,0.864245009
0.875859627,0.865494199,0.873498224,0.86655671
0.872409881,0.863574165,0.870585971,0.862714338
0.870172818,0.859898222,0.86705349,0.858954889
0.867318216,0.859069355,0.864539904,0.855875466
0.867007936,0.8587773,0.863913604,0.855596901
0.866065072,0.858294557,0.862793304,0.855031706
0.873789488,0.862673225,0.865591627,0.8591676
0.872500619,0.861220569,0.864985511,0.858914124
0.881106195,0.868590736,0.871898089,0.868115862
0.87834124,0.86610635,0.869498149,0.866088187
0.876196331,0.863601324,0.867037119,0.863240176
0.874256837,0.862350492,0.864605587,0.861656728
0.874086847,0.86145815,0.864579096,0.861197999
0.872738863,0.860763165,0.864387401,0.860543133
0.875612636,0.862889621,0.865797778,0.862132077
0.87320315,0.860129087,0.863447267,0.859600528
0.870781111,0.8582993,0.862229361,0.857455603
0.867624951,0.855087302,0.858397959,0.854674773
0.865589214,0.853464197,0.856933041,0.853207386
0.862601878,0.850277397,0.853789483,0.849860258
0.864659893,0.85166847,0.855522847,0.852000864
0.865573822,0.853880428,0.85698637,0.854600614
0.865608048,0.853274543,0.857134322,0.854048488
0.863687355,0.851215089,0.85521882,0.851750831
0.864331541,0.851208423,0.855738173,0.85231178
0.864593657,0.853189817,0.857056775,0.853936143
0.864029724,0.852305455,0.856394427,0.853531351
0.865666345,0.854565137,0.859366094,0.857789534
0.860956197,0.850341822,0.855470678,0.853253469
0.860005487,0.849429658,0.85486621,0.852498212
0.857062158,0.846300137,0.8519516,0.849420417
0.856010773,0.845718988,0.850579052,0.847691469
0.859384502,0.847199259,0.852289948,0.8498777
0.858474789,0.847246901,0.851700714,0.848889563
0.855655595,0.844937346,0.849927627,0.846273769
0.852400479,0.841727578,0.847250865,0.843513894
0.855500702,0.844020837,0.851168198,0.846071635
0.851911229,0.841576305,0.847273649,0.841770968
0.854993467,0.841919525,0.849856495,0.844798374
0.854560432,0.84152998,0.849782145,0.844666422
0.851907677,0.838887417,0.848284138,0.842219896
0.850168724,0.836748613,0.845823844,0.840278451
0.851295652,0.838381717,0.848013251,0.842377305
0.848950771,0.835408557,0.844939337,0.838433308
0.846437519,0.832879586,0.842314102,0.835798826
0.843643995,0.830210393,0.839635116,0.833700353
0.844625503,0.830581041,0.84057243,0.834947147
0.842072888,0.82778553,0.83816819,0.83131199
0.843749538,0.829210852,0.84085454,0.83370535
0.862652435,0.842499474,0.853050011,0.851207278
0.86261849,0.844735328,0.854122266,0.852638686
0.867196914,0.847084588,0.857836407,0.854271241
0.874955648,0.854135117,0.863732951,0.860545811
0.872225236,0.851070665,0.861093512,0.858244833
0.869647902,0.847949128,0.857978066,0.855500468
0.86768248,0.845760664,0.856191514,0.853290238
0.867663992,0.847361909,0.857254758,0.853996157
0.871228542,0.849635153,0.859151122,0.85608913
0.872361082,0.850457591,0.861799195,0.8579985
0.869157012,0.847320879,0.858824998,0.854412619
0.867217582,0.845641141,0.857173818,0.852505053
0.867959898,0.846825494,0.858772969,0.853371345
0.868231112,0.847958423,0.860213617,0.854340307
0.865984538,0.846624435,0.857408326,0.852795308
0.862186218,0.843989524,0.854521777,0.850353537
0.867522903,0.850602031,0.858939365,0.853567224
0.865233569,0.848967832,0.857291595,0.852216697
0.8649718,0.85043523,0.859168459,0.852638575
0.864951476,0.850712249,0.858979485,0.852728673
0.861315486,0.848186614,0.856422718,0.849719771
0.859001873,0.84641837,0.854326931,0.847818769
0.862513011,0.849768361,0.856325537,0.8508911
0.863034175,0.851095738,0.85824943,0.852463387
0.861598259,0.848756464,0.856162558,0.850049923
